experiment,n,accuracy,macro_f1,weighted_f1,binary_acc,binary_precision,binary_recall,parse_ok_rate,f1_religion,f1_age,f1_gender,f1_ethnicity,f1_other_cyberbullying,f1_not_cyberbullying
exp7_hybrid,600,0.4433,0.4036,0.4036,0.8117,0.8941,0.878,1.0,0.2759,0.0,0.7186,0.6948,0.2727,0.4593
exp3_few_shot,600,0.365,0.3782,0.3782,0.795,0.9089,0.838,1.0,0.371,0.0769,0.5032,0.6272,0.2054,0.4854
exp1_rule_eval,600,0.4167,0.3712,0.3712,0.4933,0.99,0.396,,0.2586,0.0,0.75,0.7816,0.0448,0.392
exp5_persona,600,0.4,0.3643,0.3643,0.8117,0.8941,0.878,1.0,0.1818,0.0,0.6575,0.6341,0.2528,0.4593
exp2_zero_shot,600,0.3833,0.3626,0.3626,0.7917,0.905,0.838,1.0,0.2143,0.0,0.5902,0.6632,0.2353,0.4726
exp4_cot,600,0.3533,0.3334,0.3334,0.8067,0.8967,0.868,1.0,0.0952,0.0,0.5556,0.6633,0.2233,0.463
exp6_few_shot_cot,600,0.3217,0.3265,0.3265,0.8133,0.9008,0.872,1.0,0.3025,0.0,0.3768,0.5839,0.2146,0.4815
